stage_name,stage_mode,arm,bin_index,time_ns_increasing,time_ns_plot_axis,state_index,state_label,probability
After Emission,emission,B,11,11.000000000000002,88.00000000000001,1,|H_780>,6.842170266685263e-05
After Emission,emission,B,11,11.000000000000002,88.00000000000001,2,|V_780>,6.842170266685249e-05
After Emission,emission,B,11,11.000000000000002,88.00000000000001,3,|H_1517>,6.129514744752859e-33
After Emission,emission,B,11,11.000000000000002,88.00000000000001,4,|V_1517>,9.298670585987656e-33
After Emission,emission,B,12,12.000000000000002,87.00000000000001,0,|vac>,0.9997712828262574
After Emission,emission,B,12,12.000000000000002,87.00000000000001,1,|H_780>,0.00011435858687110524
After Emission,emission,B,12,12.000000000000002,87.00000000000001,2,|V_780>,0.00011435858687110512
After Emission,emission,B,12,12.000000000000002,87.00000000000001,3,|H_1517>,2.242954057303539e-33
After Emission,emission,B,12,12.000000000000002,87.00000000000001,4,|V_1517>,3.4910786700584714e-33
After Emission,emission,B,13,13.0,86.0,0,|vac>,0.9996539207129811
After Emission,emission,B,13,13.0,86.0,1,|H_780>,0.00017303964350938835
After Emission,emission,B,13,13.0,86.0,2,|V_780>,0.00017303964350938716
After Emission,emission,B,13,13.0,86.0,3,|H_1517>,8.240195805788707e-33
After Emission,emission,B,13,13.0,86.0,4,|V_1517>,7.955387481620447e-33
After Emission,emission,B,14,14.000000000000002,85.0,0,|vac>,0.999510106558901
After Emission,emission,B,14,14.000000000000002,85.0,1,|H_780>,0.0002449467205493936
After Emission,emission,B,14,14.000000000000002,85.0,2,|V_780>,0.00024494672054939295
After Emission,emission,B,14,14.000000000000002,85.0,3,|H_1517>,1.3279285302959127e-32
After Emission,emission,B,14,14.000000000000002,85.0,4,|V_1517>,3.916300011322997e-33
After Emission,emission,B,15,15.000000000000002,84.00000000000001,0,|vac>,0.9993389927208892
After Emission,emission,B,15,15.000000000000002,84.00000000000001,1,|H_780>,0.00033050363955565367
After Emission,emission,B,15,15.000000000000002,84.00000000000001,2,|V_780>,0.0003305036395556531
After Emission,emission,B,15,15.000000000000002,84.00000000000001,3,|H_1517>,3.713246083574972e-33
After Emission,emission,B,15,15.000000000000002,84.00000000000001,4,|V_1517>,7.465143116040335e-33
After Emission,emission,B,16,16.0,83.0,0,|vac>,0.9991398692000508
After Emission,emission,B,16,16.0,83.0,1,|H_780>,0.00043006539997447084
After Emission,emission,B,16,16.0,83.0,2,|V_780>,0.00043006539997447155
After Emission,emission,B,16,16.0,83.0,3,|H_1517>,8.569616663220778e-33
After Emission,emission,B,16,16.0,83.0,4,|V_1517>,2.1323326108205358e-33
After Emission,emission,B,17,17.0,82.0,0,|vac>,0.9989121872419081
After Emission,emission,B,17,17.0,82.0,1,|H_780>,0.0005439063790458159
After Emission,emission,B,17,17.0,82.0,2,|V_780>,0.0005439063790458168
After Emission,emission,B,17,17.0,82.0,3,|H_1517>,8.03324094718029e-33
After Emission,emission,B,17,17.0,82.0,4,|V_1517>,7.263739459863726e-33
After Emission,emission,B,18,18.000000000000004,81.00000000000001,0,|vac>,0.9986555849723144
After Emission,emission,B,18,18.000000000000004,81.00000000000001,1,|H_780>,0.0006722075138427646
After Emission,emission,B,18,18.000000000000004,81.00000000000001,2,|V_780>,0.0006722075138427624
After Emission,emission,B,18,18.000000000000004,81.00000000000001,3,|H_1517>,1.3759144288317353e-32
After Emission,emission,B,18,18.000000000000004,81.00000000000001,4,|V_1517>,1.1518575503579228e-32
After Emission,emission,B,19,19.0,80.0,0,|vac>,0.998369915048559
After Emission,emission,B,19,19.0,80.0,1,|H_780>,0.0008150424757205787
